Temperature (C),Humidity (%),Date and Time
22.5,59,2025-01-07 16:36:31
22.5,59,2025-01-07 16:37:31
22.9,57,2025-01-07 16:38:31
22.7,57,2025-01-07 17:16:10
22.7,57,2025-01-07 17:16:10
22.5,58,2025-01-07 17:23:08
22.5,58,2025-01-07 17:23:36
22.5,58,2025-01-07 17:26:36
22.4,58,2025-01-07 17:28:04
22.2,59,2025-01-07 17:29:42
22.2,59,2025-01-07 17:37:18
22.0,59,2025-01-07 17:38:32
22.1,59,2025-01-07 17:39:32
22.1,59,2025-01-07 17:40:32
22.2,59,2025-01-07 17:41:33
22.1,59,2025-01-07 17:42:33
22.1,59,2025-01-07 17:43:33
